trial_id,schedule_index,question_id,category,comparison_file,order,prompt_condition,repetition,candidate_a,candidate_b,collection_status,raw_record_sha256,valid,verdict,selected_candidate,parse_reason,fastchat_valid,fastchat_verdict,fastchat_selected_candidate,fastchat_parse_reason
a7c5b5b419dc45d94a91,1,82,writing,gpt-3.5-turbo.jsonl,baseline_comparison,warning_ablation,1,baseline,comparison,collected,5d4366be0df2b4143a271d3aa4a7f99fc8b66ae880cc9e91409d50a4dce82110,True,A,baseline,,True,A,baseline,
df6d1b4e5771ab42011b,2,153,humanities,gpt-4.jsonl,comparison_baseline,original,2,comparison,baseline,collected,9b6e841984bc658c27e4d1df40ae4e4f50a1b9a531589c7f0ab4dc34a750b71f,True,A,comparison,,True,A,comparison,
5cc5b1fc45a01a7e14fe,3,103,reasoning,gpt-3.5-turbo.jsonl,baseline_comparison,warning_ablation,2,baseline,comparison,collected,fa5ce4bff7d6528ae9afca308d98e9cba2112e8a21834bdc4b5b4d7d32746881,True,A,baseline,,True,A,baseline,
30b741bd1b0f36efe1af,4,81,writing,gpt-4.jsonl,comparison_baseline,original,3,comparison,baseline,collected,f98dbc9e4f28fbe90aa5a0548dba4d602ade0744a0e0285bb509e4075c47ad53,True,B,baseline,,True,B,baseline,
ee8b015fa9b13e0180e6,5,101,reasoning,alpaca-13b.jsonl,comparison_baseline,warning_ablation,1,comparison,baseline,collected,39ef5d9751e546d0d870f740cbfb4e82303f9ceead05ecbf7841e03490c13435,True,B,baseline,,True,B,baseline,
2cf15620a7b365c6326d,6,141,stem,gpt-3.5-turbo.jsonl,baseline_comparison,warning_ablation,2,baseline,comparison,collected,2934ff1a390de38576024f9367243ec70735791481cae6878e472ab314ea5739,True,A,baseline,,True,A,baseline,
a4b029fd87ed37598c16,7,153,humanities,gpt-4.jsonl,baseline_comparison,warning_ablation,1,baseline,comparison,collected,5d354a0c5230fe0c349afbcb28ac4633ac771fd196c1d0c22f69f8243c135407,True,A,baseline,,True,A,baseline,
80f8851262773374f16f,8,152,humanities,gpt-3.5-turbo.jsonl,baseline_comparison,original,3,baseline,comparison,collected,8b880a10f8c0c2c26864669ce22b78489842f151e95715ed0b86ef881fc5ba20,True,A,baseline,,True,A,baseline,
fcd561d5581154fb1c3a,9,83,writing,alpaca-13b.jsonl,comparison_baseline,warning_ablation,1,comparison,baseline,collected,1584916248df380f172d0a2babd19ed2a85fb9407e8e9bcf3dd1711b32739839,True,B,baseline,,True,B,baseline,
218955db9a093a084868,10,101,reasoning,gpt-3.5-turbo.jsonl,comparison_baseline,warning_ablation,2,comparison,baseline,collected,e1cb5dcd628885047eeba99a20717abf9b9dbcafe49dbb3ff01bcb7a8014ba5b,True,B,baseline,,True,B,baseline,
